river country province
Tigris IRQ "Salah al-Deen"
Tigris IRQ Kirkuk
Tigris IRQ Wasit
Tigris IRQ Duhouk
Tigris IRQ Erbil
Euphrat TR Adıyaman
Euphrat TR Diyarbakır
Euphrat TR Elazığ
Euphrat TR Gaziantep
Euphrat TR Malatya
Euphrat TR Şanlıurfa
Euphrat SYR "Al Qunaytirah"
Euphrat SYR "Ar Raqqah"
Euphrat SYR "Dayr az Zawr"
Euphrat IRQ al-Anbar
Euphrat IRQ Babylon
Euphrat IRQ Basrah
Euphrat IRQ "Thi Qar"
Euphrat IRQ Kerbela
Euphrat IRQ al-Muthanna
Euphrat IRQ al-Najaf
Euphrat IRQ al-Qadisiya
Murat TR Ağrı
Murat TR Bingöl
Murat TR Elazığ
Murat TR Muş
Karasu TR Erzincan
Karasu TR Erzurum
Karasu TR Tunceli
Karun IR "Kohgiluyeh and Boyer-Ahmad"
Karun IR "Chaharmahal and Bakhtiyari"
Karun IR Esfahan
Karun IR Khuzestan
Helmand IR "Sistan and Baluchestan"
Helmand AFG Afghanistan
"Northern Dwina" R Arkhangelskaya
"Northern Dwina" R Vologodskaya
Suchona R Vologodskaya
Petschora R Komi
Petschora R Arkhangelskaya
Newa R Leningradskaya
Swir R Leningradskaya
Wyg R Karelia
Narva EST Estonia
Narva R Leningradskaya
"Western Dwina" LV Latvia
"Western Dwina" BY Vitebsk
"Western Dwina" R Smolenskaya
Dnister UA Chernivetska
Dnister UA Ivano-Frankivska
Dnister UA Khmelnytska
Dnister UA Lvivska
Dnister UA Odeska
Dnister UA Ternopilska
Dnister UA Vinnytska
Dnister MD Moldova
Dnepr BY Gomel
Dnepr BY Mogilev
Dnepr UA Cherkaska
Dnepr UA Chernihivska
Dnepr UA Dnipropetrovska
Dnepr UA Khersonska
Dnepr UA Kyïvska
Dnepr UA Kirovohradska
Dnepr UA Poltavska
Dnepr UA Zaporizka
Dnepr UA Kyïv
Dnepr R Smolenskaya
Prypjat BY Brest
Prypjat BY Gomel
Prypjat UA Kyïvska
Prypjat UA Rivnenska
Prypjat UA Volynska
Desna UA Chernihivska
Desna UA Kyïvska
Desna UA Sumska
Desna R Bryanskaya
Desna R Smolenskaya
Desna R Kirovskaya
Don R Tulskaya
Don R Voronezhskaya
Don R Lipetskaya
Don R Volgogradskaya
Don R Rostovskaya
Kuban R Adygeya
Kuban R Karachayevo-Cherkesskaya
Kuban R Krasnodarskiy
Kuban R Stavropolskiy
Volga R Ivanovskaya
Volga R Kostromskaya
Volga R Tverskaya
Volga R Yaroslavskaya
Volga R Mariy-El
Volga R Chuvashia
Volga R "Nizhnii Novgorodskaya"
Volga R Astrakhanskaya
Volga R Volgogradskaya
Volga R Penzenskaya
Volga R Samarskaya
Volga R Saratovskaya
Volga R Ulyanovskaya
Oka R Vladimirskaya
Oka R Kaluzhskaya
